trainerID,place,pokename,pokelevel
63,2,Wailmer,29
63,3,Magneton,29
63,4,Shiftry,29
64,0,Cacturne,44
65,0,Lairon,45
65,1,Manectric,45
66,0,Linoone,27
67,0,Roselia,44
68,0,Milotic,31
69,0,Zangoose,27
70,0,Sandslash,43
70,1,Ninetales,43
71,0,Mawile,46
71,1,Starmie,46
72,0,Linoone,27
73,0,Delcatty,27
74,0,Nosepass,42
74,1,Medicham,42
74,2,Ludicolo,42
75,0,Kecleon,42
75,1,Rhyhorn,42
75,2,Tentacruel,42
76,0,Linoone,27
77,0,Delcatty,27
78,0,Shiftry,34
78,1,Graveler,34
78,2,Loudred,34
79,0,Dodrio,42
79,1,Lairon,42
79,2,Kadabra,42
80,0,Claydol,44
81,0,Sableye,44
81,1,Medicham,44
81,2,Sharpedo,44
82,0,Swellow,42
82,1,Kadabra,42
82,2,Manectric,42
82,3,Shiftry,42
83,0,Graveler,34
83,1,Magcargo,34
83,2,Ludicolo,34
84,0,Mawile,31
84,1,Roselia,31
84,2,Pelipper,31
85,0,Electrike,18
85,1,Wailmer,18
85,2,Makuhita,18
86,0,Electrike,26
86,1,Wailmer,26
86,2,Makuhita,26
87,0,Manectric,29
87,1,Wailmer,29
87,2,Makuhita,29
88,0,Manectric,32
88,1,Wailmer,32
88,2,Makuhita,32
89,0,Manectric,35
89,1,Wailmer,35
89,2,Hariyama,35
90,0,Kecleon,24
91,0,Magneton,43
91,1,Muk,43
92,0,Gloom,34
92,1,Azumarill,34
93,0,Wigglytuff,26
94,0,Manectric,32
94,1,Linoone,32
95,0,Vigoroth,26
96,0,Swellow,28
96,1,Trapinch,28
96,2,Wailmer,28
96,3,Magneton,28
96,4,Shiftry,28
97,0,Wingull,17
97,1,Numel,17
97,2,Roselia,17
98,0,Wingull,26
98,1,Numel,26
98,2,Roselia,26
99,0,Pelipper,29
99,1,Numel,29
99,2,Roselia,29
100,0,Pelipper,32
100,1,Numel,32
100,2,Roselia,32
101,0,Pelipper,34
101,1,Camerupt,34
101,2,Roselia,34
102,0,Manectric,24
102,1,Swellow,24
102,2,Manectric,24
103,0,Skarmory,43
103,1,Sableye,43
104,0,Loudred,29
104,1,Vigoroth,29
105,0,Loudred,35
105,1,Vigoroth,35
106,0,Spinda,37
106,1,Loudred,37
106,2,Vigoroth,37
107,0,Spinda,39
107,1,Loudred,39
107,2,Vigoroth,39
108,0,Spinda,41
108,1,Exploud,41
108,2,Slaking,41
109,0,Pelipper,33
109,1,Camerupt,33
110,0,Claydol,43
110,1,Lanturn,43
111,0,Cacturne,43
111,1,Pelipper,43
112,0,Medicham,43
112,1,Claydol,43
113,0,Slakoth,26
114,0,Kecleon,23
115,0,Sableye,43
115,1,Absol,43
116,0,Roselia,45
117,0,Absol,27
118,0,Sableye,30
119,0,Zangoose,26
120,0,Kecleon,33
120,1,Loudred,33
121,0,Sandslash,42
121,1,Ninetales,42
121,2,Tropius,42
122,0,Gardevoir,43
122,1,Slaking,43
123,0,Lairon,45
123,1,Manectric,45
124,0,Manectric,30
125,0,Mawile,46
125,1,Starmie,46
126,0,Manectric,29
126,1,Shiftry,29
127,0,Manectric,34
128,0,Delcatty,26
129,0,Torkoal,42
129,1,Medicham,42
129,2,Ludicolo,42
130,0,Lunatone,43
130,1,Solrock,43
131,0,Kecleon,42
131,1,Graveler,42
131,2,Wailord,42
132,0,Spinda,26
133,0,Slaking,43
133,1,Dusclops,43
134,0,Swellow,26
135,0,Shiftry,34
135,1,Nosepass,34
136,0,Swellow,42
136,1,Mawile,42
136,2,Kadabra,42
137,0,Claydol,45
138,0,Sableye,44
138,1,Medicham,44
138,2,Sharpedo,44
139,0,Dodrio,42
139,1,Kadabra,42
139,2,Electrode,42
139,3,Shiftry,42
140,0,Graveler,33
140,1,Ludicolo,33
141,0,Mawile,29
141,1,Roselia,29
141,2,Pelipper,29
142,0,Electrike,17
142,1,Wailmer,17
142,2,Makuhita,17
143,0,Electrike,26
143,1,Wailmer,26
143,2,Makuhita,26
144,0,Manectric,29
144,1,Wailmer,29
144,2,Makuhita,29
145,0,Manectric,32
145,1,Wailmer,32
145,2,Makuhita,32
146,0,Manectric,35
146,1,Wailmer,35
146,2,Hariyama,35
147,0,Smeargle,60
148,0,Smeargle,30
149,0,Wailord,57
149,1,Vileplume,57
150,0,Armaldo,47
150,1,Cradily,47
151,0,Armaldo,56
151,1,Cradily,56
152,0,Carvanha,21
152,1,Numel,21
153,0,Sandslash,46
153,1,Ninetales,46
154,0,Smeargle,60
155,0,Smeargle,30
156,0,Wailord,57
156,1,Vileplume,57
157,0,Armaldo,47
157,1,Cradily,47
158,0,Armaldo,56
158,1,Cradily,56
159,0,Carvanha,21
159,1,Numel,21
160,0,Sandslash,46
160,1,Ninetales,46
161,0,Weepinbell,24
161,1,Gloom,24
161,2,Ivysaur,24
162,0,Nidorino,39
162,1,Nidoking,39
163,0,Sandslash,39
163,1,Dugtrio,39
164,0,Rhyhorn,43
165,0,Persian,44
165,1,Ninetales,44
166,0,Ivysaur,42
166,1,Wartortle,42
166,2,Charmeleon,42
166,3,Charizard,42
167,0,Exeggutor,43
167,1,Cloyster,43
167,2,Arcanine,43
168,0,Parasect,43
168,1,Dewgong,43
168,2,Chansey,43
169,0,Kingler,43
169,1,Tentacruel,43
169,2,Blastoise,43
170,0,Bellsprout,43
170,1,Weepinbell,43
170,2,Victreebel,43
171,0,Ivysaur,24
171,1,Charmeleon,24
171,2,Wartortle,24
172,0,Charmeleon,27
173,0,Rapidash,36
174,0,Rapidash,39
175,0,Rapidash,43
176,0,Magneton,33
176,1,Quagsire,31
176,2,Exeggcute,31
177,0,Sandslash,35
178,0,Horsea,33
178,1,Horsea,33
178,2,Horsea,33
179,0,Electrode,35
179,1,Starmie,35
179,2,Ninetales,35
180,0,Horsea,34
180,1,Seadra,36
181,0,Butterfree,25
181,1,Bellossom,25
182,0,Dragonair,37
183,0,Poliwhirl,28
184,0,Seadra,37
185,0,Victreebel,32
185,1,Kingler,32
185,2,Flareon,32
186,0,Victreebel,35
186,1,Kingler,35
186,2,Flareon,35
187,0,Victreebel,39
187,1,Kingler,39
187,2,Flareon,39
188,0,Eevee,26
188,1,Vaporeon,22
188,2,Jolteon,22
188,3,Flareon,22
189,0,Goldeen,22
189,1,Seaking,24
190,0,Parasect,33
190,1,Golduck,35
191,0,Staryu,24
191,1,Starmie,26
192,0,Pikachu,36
192,1,Blastoise,32
193,0,Shellder,26
193,1,Cloyster,28
194,0,Marill,27
194,1,Wartortle,24
194,2,Wartortle,24
195,0,Rhyhorn,38
195,1,Charmeleon,35
195,2,Wartortle,35
196,0,Skiploom,25
196,1,Ninetales,25
197,0,Dratini,34
197,1,Dragonair,36
198,0,Bulbasaur,32
198,1,Ivysaur,32
198,2,Venusaur,32
199,0,Dragonair,37
200,0,Charmander,26
200,1,Bulbasaur,26
200,2,Squirtle,26
201,0,Dratini,34
201,1,Dratini,34
201,2,Dratini,34
202,0,Ivysaur,38
202,1,Starmie,38
203,0,Starmie,31
203,1,Starmie,31
203,2,Nidoqueen,33
204,0,Starmie,34
204,1,Starmie,34
204,2,Nidoqueen,36
205,0,Starmie,37
205,1,Starmie,37
205,2,Nidoqueen,39
206,0,Pidgeot,25
206,1,Electabuzz,27
207,0,Flareon,35
207,1,Tangela,35
207,2,Tauros,35
208,0,Manectric,43
208,1,Muk,43
209,0,Gloom,35
209,1,Azumarill,35
210,0,Zangoose,27
211,0,Wingull,18
211,1,Numel,18
211,2,Roselia,18
212,0,Wingull,26
212,1,Numel,26
212,2,Roselia,26
213,0,Pelipper,29
213,1,Numel,29
213,2,Roselia,29
214,0,Pelipper,32
214,1,Numel,32
214,2,Roselia,32
215,0,Pelipper,35
215,1,Camerupt,35
215,2,Roselia,35
216,0,Mawile,43
216,1,Sableye,43
217,0,Swellow,29
217,1,Trapinch,29
217,2,Wailmer,29
217,3,Magneton,29
217,4,Shiftry,29
218,0,Cacturne,44
219,0,Lairon,45
219,1,Manectric,45
220,0,Linoone,27
221,0,Roselia,44
222,0,Milotic,31
223,0,Zangoose,27
224,0,Sandslash,43
224,1,Ninetales,43
225,0,Mawile,46
225,1,Starmie,46
226,0,Linoone,27
227,0,Delcatty,27
228,0,Nosepass,42
228,1,Medicham,42
228,2,Ludicolo,42
229,0,Kecleon,42
229,1,Rhyhorn,42
229,2,Tentacruel,42
230,0,Linoone,27
231,0,Delcatty,27
232,0,Shiftry,34
232,1,Graveler,34
232,2,Loudred,34
233,0,Dodrio,42
233,1,Lairon,42
233,2,Kadabra,42
234,0,Claydol,44
235,0,Sableye,44
235,1,Medicham,44
235,2,Sharpedo,44
236,0,Swellow,42
236,1,Kadabra,42
236,2,Manectric,42
236,3,Shiftry,42
237,0,Graveler,34
237,1,Magcargo,34
237,2,Ludicolo,34
238,0,Mawile,31
238,1,Roselia,31
238,2,Pelipper,31
239,0,Electrike,18
239,1,Wailmer,18
239,2,Makuhita,18
240,0,Electrike,26
240,1,Wailmer,26
240,2,Makuhita,26
241,0,Manectric,29
241,1,Wailmer,29
241,2,Makuhita,29
242,0,Manectric,32
242,1,Wailmer,32
242,2,Makuhita,32
243,0,Manectric,35
243,1,Wailmer,35
243,2,Hariyama,35
244,0,Kecleon,24
245,0,Magneton,43
245,1,Muk,43
246,0,Gloom,34
246,1,Azumarill,34
247,0,Wigglytuff,26
248,0,Manectric,32
248,1,Linoone,32
249,0,Vigoroth,26
250,0,Swellow,28
250,1,Trapinch,28
250,2,Wailmer,28
250,3,Magneton,28
250,4,Shiftry,28
251,0,Wingull,17
251,1,Numel,17
251,2,Roselia,17
252,0,Wingull,26
252,1,Numel,26
252,2,Roselia,26
253,0,Pelipper,29
253,1,Numel,29
253,2,Roselia,29
254,0,Pelipper,32
254,1,Numel,32
254,2,Roselia,32
255,0,Pelipper,34
255,1,Camerupt,34
255,2,Roselia,34
256,0,Manectric,24
256,1,Swellow,24
256,2,Manectric,24
257,0,Skarmory,43
257,1,Sableye,43
258,0,Loudred,29
258,1,Vigoroth,29
259,0,Loudred,35
259,1,Vigoroth,35
260,0,Spinda,37
260,1,Loudred,37
260,2,Vigoroth,37
261,0,Spinda,39
261,1,Loudred,39
261,2,Vigoroth,39
262,0,Spinda,41
262,1,Exploud,41
262,2,Slaking,41
263,0,Pelipper,33
263,1,Camerupt,33
264,0,Claydol,43
264,1,Lanturn,43
265,0,Cacturne,43
265,1,Pelipper,43
266,0,Medicham,43
266,1,Claydol,43
267,0,Slakoth,26
268,0,Kecleon,23
269,0,Sableye,43
269,1,Absol,43
270,0,Roselia,45
271,0,Absol,27
272,0,Sableye,30
273,0,Zangoose,26
274,0,Kecleon,33
274,1,Loudred,33
275,0,Sandslash,42
275,1,Ninetales,42
275,2,Tropius,42
276,0,Gardevoir,43
276,1,Slaking,43
277,0,Lairon,45
277,1,Manectric,45
278,0,Manectric,30
279,0,Mawile,46
279,1,Starmie,46
280,0,Manectric,29
280,1,Shiftry,29
281,0,Manectric,34
282,0,Delcatty,26
283,0,Torkoal,42
283,1,Medicham,42
283,2,Ludicolo,42
284,0,Lunatone,43
284,1,Solrock,43
285,0,Kecleon,42
285,1,Graveler,42
285,2,Wailord,42
286,0,Spinda,26
287,0,Slaking,43
287,1,Dusclops,43
288,0,Swellow,26
289,0,Shiftry,34
289,1,Nosepass,34
290,0,Swellow,42
290,1,Mawile,42
290,2,Kadabra,42
291,0,Claydol,45
292,0,Sableye,44
292,1,Medicham,44
292,2,Sharpedo,44
293,0,Dodrio,42
293,1,Kadabra,42
293,2,Electrode,42
293,3,Shiftry,42
294,0,Graveler,33
294,1,Ludicolo,33
295,0,Mawile,29
295,1,Roselia,29
295,2,Pelipper,29
296,0,Electrike,17
296,1,Wailmer,17
296,2,Makuhita,17
297,0,Electrike,26
297,1,Wailmer,26
297,2,Makuhita,26
298,0,Manectric,29
298,1,Wailmer,29
298,2,Makuhita,29
299,0,Manectric,32
299,1,Wailmer,32
299,2,Makuhita,32
300,0,Manectric,35
300,1,Wailmer,35
300,2,Hariyama,35
301,0,Smeargle,60
302,0,Smeargle,30
303,0,Wailord,57
303,1,Vileplume,57
304,0,Armaldo,47
304,1,Cradily,47
305,0,Armaldo,56
305,1,Cradily,56
306,0,Carvanha,21
306,1,Numel,21
307,0,Sandslash,46
307,1,Ninetales,46
308,0,Weepinbell,24
308,1,Gloom,24
308,2,Ivysaur,24
309,0,Nidorino,39
309,1,Nidoking,39
310,0,Sandslash,39
310,1,Dugtrio,39
311,0,Rhyhorn,43
312,0,Persian,44
312,1,Ninetales,44
313,0,Ivysaur,42
313,1,Wartortle,42
313,2,Charmeleon,42
313,3,Charizard,42
314,0,Exeggutor,43
314,1,Cloyster,43
314,2,Arcanine,43
315,0,Parasect,43
315,1,Dewgong,43
315,2,Chansey,43
316,0,Kingler,43
316,1,Tentacruel,43
316,2,Blastoise,43
317,0,Bellsprout,43
317,1,Weepinbell,43
317,2,Victreebel,43
318,0,Ivysaur,24
318,1,Charmeleon,24
318,2,Wartortle,24
319,0,Charmeleon,27
320,0,Rapidash,36
321,0,Rapidash,39
322,0,Rapidash,43
323,0,Magneton,33
323,1,Quagsire,31
323,2,Exeggcute,31
324,0,Sandslash,35
325,0,Horsea,33
325,1,Horsea,33
325,2,Horsea,33
326,0,Electrode,35
326,1,Starmie,35
326,2,Ninetales,35
327,0,Horsea,34
327,1,Seadra,36
328,0,Butterfree,25
328,1,Bellossom,25
329,0,Dragonair,37
330,0,Poliwhirl,28
331,0,Seadra,37
332,0,Victreebel,32
332,1,Kingler,32
332,2,Flareon,32
333,0,Victreebel,35
333,1,Kingler,35
333,2,Flareon,35
334,0,Victreebel,39
334,1,Kingler,39
334,2,Flareon,39
335,0,Eevee,26
335,1,Vaporeon,22
335,2,Jolteon,22
335,3,Flareon,22
336,0,Goldeen,22
336,1,Seaking,24
337,0,Parasect,33
337,1,Golduck,35
338,0,Staryu,24
338,1,Starmie,26
339,0,Pikachu,36
339,1,Blastoise,32
340,0,Shellder,26
340,1,Cloyster,28
341,0,Marill,27
341,1,Wartortle,24
341,2,Wartortle,24
342,0,Rhyhorn,38
342,1,Charmeleon,35
342,2,Wartortle,35
343,0,Skiploom,25
343,1,Ninetales,25
344,0,Dratini,34
344,1,Dragonair,36
345,0,Bulbasaur,32
345,1,Ivysaur,32
345,2,Venusaur,32
346,0,Dragonair,37
347,0,Charmander,26
347,1,Bulbasaur,26
347,2,Squirtle,26
348,0,Dratini,34
348,1,Dratini,34
348,2,Dratini,34
349,0,Ivysaur,38
349,1,Starmie,38
350,0,Starmie,31
350,1,Starmie,31
350,2,Nidoqueen,33
351,0,Starmie,34
351,1,Starmie,34
351,2,Nidoqueen,36
352,0,Starmie,37
352,1,Starmie,37
352,2,Nidoqueen,39
353,0,Pidgeot,25
353,1,Electabuzz,27
354,0,Flareon,35
354,1,Tangela,35
354,2,Tauros,35
355,0,Manectric,43
355,1,Muk,43
356,0,Gloom,35
356,1,Azumarill,35
357,0,Zangoose,27
358,0,Wingull,18
358,1,Numel,18
358,2,Roselia,18
359,0,Wingull,26
359,1,Numel,26
359,2,Roselia,26
360,0,Pelipper,29
360,1,Numel,29
360,2,Roselia,29
361,0,Pelipper,32
361,1,Numel,32
361,2,Roselia,32
362,0,Pelipper,35
362,1,Camerupt,35
362,2,Roselia,35
363,0,Mawile,43
363,1,Sableye,43
364,0,Swellow,29
364,1,Trapinch,29
364,2,Wailmer,29
364,3,Magneton,29
364,4,Shiftry,29
365,0,Cacturne,44
366,0,Lairon,45
366,1,Manectric,45
367,0,Linoone,27
368,0,Roselia,44
369,0,Milotic,31
370,0,Zangoose,27
371,0,Sandslash,43
371,1,Ninetales,43
372,0,Mawile,46
372,1,Starmie,46
373,0,Linoone,27
374,0,Delcatty,27
375,0,Nosepass,42
375,1,Medicham,42
375,2,Ludicolo,42
376,0,Kecleon,42
376,1,Rhyhorn,42
376,2,Tentacruel,42
377,0,Linoone,27
378,0,Delcatty,27
379,0,Shiftry,34
379,1,Graveler,34
379,2,Loudred,34
380,0,Dodrio,42
380,1,Lairon,42
380,2,Kadabra,42
381,0,Claydol,44
382,0,Sableye,44
382,1,Medicham,44
382,2,Sharpedo,44
383,0,Swellow,42
383,1,Kadabra,42
383,2,Manectric,42
383,3,Shiftry,42
384,0,Graveler,34
384,1,Magcargo,34
384,2,Ludicolo,34
385,0,Mawile,31
385,1,Roselia,31
385,2,Pelipper,31
386,0,Electrike,18
386,1,Wailmer,18
386,2,Makuhita,18
387,0,Electrike,26
387,1,Wailmer,26
387,2,Makuhita,26
388,0,Manectric,29
388,1,Wailmer,29
388,2,Makuhita,29
389,0,Manectric,32
389,1,Wailmer,32
389,2,Makuhita,32
390,0,Manectric,35
390,1,Wailmer,35
390,2,Hariyama,35
391,0,Kecleon,24
392,0,Magneton,43
392,1,Muk,43
393,0,Gloom,34
393,1,Azumarill,34
394,0,Wigglytuff,26
395,0,Manectric,32
395,1,Linoone,32
396,0,Vigoroth,26
397,0,Swellow,28
397,1,Trapinch,28
397,2,Wailmer,28
397,3,Magneton,28
397,4,Shiftry,28
398,0,Wingull,17
398,1,Numel,17
398,2,Roselia,17
399,0,Wingull,26
399,1,Numel,26
399,2,Roselia,26
400,0,Pelipper,29
400,1,Numel,29
400,2,Roselia,29
401,0,Pelipper,32
401,1,Numel,32
401,2,Roselia,32
402,0,Pelipper,34
402,1,Camerupt,34
402,2,Roselia,34
403,0,Manectric,24
403,1,Swellow,24
403,2,Manectric,24
404,0,Skarmory,43
404,1,Sableye,43
405,0,Loudred,29
405,1,Vigoroth,29
406,0,Loudred,35
406,1,Vigoroth,35
407,0,Spinda,37
407,1,Loudred,37
407,2,Vigoroth,37
408,0,Spinda,39
408,1,Loudred,39
408,2,Vigoroth,39
409,0,Spinda,41
409,1,Exploud,41
409,2,Slaking,41
410,0,Pelipper,33
410,1,Camerupt,33
411,0,Claydol,43
411,1,Lanturn,43
412,0,Cacturne,43
412,1,Pelipper,43
413,0,Medicham,43
413,1,Claydol,43
414,0,Slakoth,26
415,0,Kecleon,23
416,0,Sableye,43
416,1,Absol,43
417,0,Roselia,45
418,0,Absol,27
419,0,Sableye,30
420,0,Zangoose,26
421,0,Kecleon,33
421,1,Loudred,33
422,0,Sandslash,42
422,1,Ninetales,42
422,2,Tropius,42
423,0,Gardevoir,43
423,1,Slaking,43
424,0,Lairon,45
424,1,Manectric,45
425,0,Manectric,30
426,0,Mawile,46
426,1,Starmie,46
427,0,Manectric,29
427,1,Shiftry,29
428,0,Manectric,34
429,0,Delcatty,26
430,0,Torkoal,42
430,1,Medicham,42
430,2,Ludicolo,42
431,0,Lunatone,43
431,1,Solrock,43
432,0,Kecleon,42
432,1,Graveler,42
432,2,Wailord,42
433,0,Spinda,26
434,0,Slaking,43
434,1,Dusclops,43
435,0,Swellow,26
436,0,Shiftry,34
436,1,Nosepass,34
437,0,Swellow,42
437,1,Mawile,42
437,2,Kadabra,42
438,0,Claydol,45
439,0,Sableye,44
439,1,Medicham,44
439,2,Sharpedo,44
440,0,Dodrio,42
440,1,Kadabra,42
440,2,Electrode,42
440,3,Shiftry,42
441,0,Graveler,33
441,1,Ludicolo,33
442,0,Mawile,29
442,1,Roselia,29
442,2,Pelipper,29
443,0,Electrike,17
443,1,Wailmer,17
443,2,Makuhita,17
444,0,Electrike,26
444,1,Wailmer,26
444,2,Makuhita,26
445,0,Manectric,29
445,1,Wailmer,29
445,2,Makuhita,29
446,0,Manectric,32
446,1,Wailmer,32
446,2,Makuhita,32
447,0,Manectric,35
447,1,Wailmer,35
447,2,Hariyama,35
448,0,Smeargle,60
449,0,Smeargle,30
450,0,Wailord,57
450,1,Vileplume,57
451,0,Armaldo,47
451,1,Cradily,47
452,0,Armaldo,56
452,1,Cradily,56
453,0,Carvanha,21
453,1,Numel,21
454,0,Sandslash,46
454,1,Ninetales,46
455,0,Weepinbell,24
455,1,Gloom,24
455,2,Ivysaur,24
456,0,Nidorino,39
456,1,Nidoking,39
457,0,Sandslash,39
457,1,Dugtrio,39
458,0,Rhyhorn,43
459,0,Persian,44
459,1,Ninetales,44
460,0,Ivysaur,42
460,1,Wartortle,42
460,2,Charmeleon,42
460,3,Charizard,42
461,0,Exeggutor,43
461,1,Cloyster,43
461,2,Arcanine,43
462,0,Parasect,43
462,1,Dewgong,43
462,2,Chansey,43
463,0,Kingler,43
463,1,Tentacruel,43
463,2,Blastoise,43
464,0,Bellsprout,43
464,1,Weepinbell,43
464,2,Victreebel,43
465,0,Ivysaur,24
465,1,Charmeleon,24
465,2,Wartortle,24
466,0,Charmeleon,27
467,0,Rapidash,36
468,0,Rapidash,39
469,0,Rapidash,43
470,0,Magneton,33
470,1,Quagsire,31
470,2,Exeggcute,31
471,0,Sandslash,35
472,0,Horsea,33
472,1,Horsea,33
472,2,Horsea,33
473,0,Electrode,35
473,1,Starmie,35
473,2,Ninetales,35
474,0,Horsea,34
474,1,Seadra,36
475,0,Butterfree,25
475,1,Bellossom,25
476,0,Dragonair,37
477,0,Poliwhirl,28
478,0,Seadra,37
479,0,Victreebel,32
479,1,Kingler,32
479,2,Flareon,32
480,0,Victreebel,35
480,1,Kingler,35
480,2,Flareon,35
481,0,Victreebel,39
481,1,Kingler,39
481,2,Flareon,39
482,0,Eevee,26
482,1,Vaporeon,22
482,2,Jolteon,22
482,3,Flareon,22
483,0,Goldeen,22
483,1,Seaking,24
484,0,Parasect,33
484,1,Golduck,35
485,0,Staryu,24
485,1,Starmie,26
486,0,Pikachu,36
486,1,Blastoise,32
487,0,Shellder,26
487,1,Cloyster,28
488,0,Marill,27
488,1,Wartortle,24
488,2,Wartortle,24
489,0,Rhyhorn,38
489,1,Charmeleon,35
489,2,Wartortle,35
490,0,Skiploom,25
490,1,Ninetales,25
491,0,Dratini,34
491,1,Dragonair,36
492,0,Bulbasaur,32
492,1,Ivysaur,32
492,2,Venusaur,32
493,0,Dragonair,37
494,0,Charmander,26
494,1,Bulbasaur,26
494,2,Squirtle,26
495,0,Dratini,34
495,1,Dratini,34
495,2,Dratini,34
496,0,Ivysaur,38
496,1,Starmie,38
497,0,Starmie,31
497,1,Starmie,31
497,2,Nidoqueen,33
498,0,Starmie,34
498,1,Starmie,34
498,2,Nidoqueen,36
499,0,Starmie,37
499,1,Starmie,37
499,2,Nidoqueen,39
500,0,Pidgeot,25
500,1,Electabuzz,27
501,0,Flareon,35
501,1,Tangela,35
501,2,Tauros,35
502,0,Manectric,43
502,1,Muk,43
503,0,Gloom,35
503,1,Azumarill,35
504,0,Zangoose,27
505,0,Wingull,18
505,1,Numel,18
505,2,Roselia,18
506,0,Wingull,26
506,1,Numel,26
506,2,Roselia,26
507,0,Pelipper,29
507,1,Numel,29
507,2,Roselia,29
508,0,Pelipper,32
508,1,Numel,32
508,2,Roselia,32
509,0,Pelipper,35
509,1,Camerupt,35
509,2,Roselia,35
510,0,Mawile,43
510,1,Sableye,43
511,0,Swellow,29
511,1,Trapinch,29
511,2,Wailmer,29
511,3,Magneton,29
511,4,Shiftry,29
512,0,Cacturne,44
513,0,Lairon,45
513,1,Manectric,45
514,0,Linoone,27
515,0,Roselia,44
516,0,Milotic,31
517,0,Zangoose,27
518,0,Sandslash,43
518,1,Ninetales,43
519,0,Mawile,46
519,1,Starmie,46
520,0,Linoone,27
521,0,Delcatty,27
522,0,Nosepass,42
522,1,Medicham,42
522,2,Ludicolo,42
523,0,Kecleon,42
523,1,Rhyhorn,42
523,2,Tentacruel,42
524,0,Linoone,27
525,0,Delcatty,27
526,0,Shiftry,34
526,1,Graveler,34
526,2,Loudred,34
527,0,Dodrio,42
527,1,Lairon,42
527,2,Kadabra,42
528,0,Claydol,44
529,0,Sableye,44
529,1,Medicham,44
529,2,Sharpedo,44
530,0,Swellow,42
530,1,Kadabra,42
530,2,Manectric,42
530,3,Shiftry,42
531,0,Graveler,34
531,1,Magcargo,34
531,2,Ludicolo,34
532,0,Mawile,31
532,1,Roselia,31
532,2,Pelipper,31
533,0,Electrike,18
533,1,Wailmer,18
533,2,Makuhita,18
534,0,Electrike,26
534,1,Wailmer,26
534,2,Makuhita,26
535,0,Manectric,29
535,1,Wailmer,29
535,2,Makuhita,29
536,0,Manectric,32
536,1,Wailmer,32
536,2,Makuhita,32
537,0,Manectric,35
537,1,Wailmer,35
537,2,Hariyama,35
